# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
70 4.375 -0.2376395047010327055 9.07766869738257931 1.937877087189411138e-10 -0.00925506337883487927 0.002962254740036321388 6.788486867740735665e-11
71 4.4375 -0.2382342015353230424 9.07785437220781688 1.980039231388525127e-10 -0.009515149348645557392 0.002970797203813437329 6.745943071858230536e-11
72 4.5 -0.2388451691201143867 9.078040542754857611 2.021926308663087966e-10 -0.009775481356661645457 0.002978728752653524506 6.70193236393007101e-11
73 4.5625 -0.2394724138007550684 9.07822717186843775 2.063529606351661103e-10 -0.01003591489025111756 0.002986065817275760943 6.656527630171712311e-11
74 4.625 -0.2401159332074927766 9.078414223373618697 2.104841077658861727e-10 -0.01029631050780318441 0.002992824082905114463 6.609835409152119163e-11
75 4.6875 -0.2407757165821305945 9.078601662034888164 2.145853301155183943e-10 -0.01055653399420490059 0.002999018580300960059 6.561955759411548092e-11
76 4.75 -0.2414517451146367955 9.078789453519755526 2.186559283923289204e-10 -0.01081645652009935454 0.003004663757877050478 6.512957242896841849e-11
77 4.8125 -0.2421439922901087172 9.078977564365995789 2.22695227033109463e-10 -0.01107595480755078562 0.003009773539852250886 6.462877825248860336e-11
78 4.875 -0.2428524242462613281 9.079165961951998653 2.267025684334305813e-10 -0.01133491129844193916 0.003014361376034253338 6.411746240513785414e-11
79 4.9375 -0.2435770001411364793 9.079354614469972162 2.306773237325284912e-10 -0.01159321431800230603 0.003018440287584812139 6.359608478556662294e-11
80 5 -0.2443176725300964525 9.079543490901926361 2.34618911676142717e-10 -0.01185075822335960628 0.003022022911257867851 6.306540709782723878e-11
81 5.0625 -0.2450743877507070012 9.079732560998275304 2.385268134307879514e-10 -0.01210744352976899328 0.003025121541587837918 6.252642807432395744e-11
82 5.125 -0.2458470863136584528 9.079921795258830031 2.424005762787210737e-10 -0.01236317700722307754 0.003027748168868880062 6.198020556693004733e-11
83 5.1875 -0.2466357032968923835 9.080111164915626532 2.462398051891113029e-10 -0.01261787173174295715 0.003029914508740454582 6.142766256624326598e-11
84 5.25 -0.2474401687401401595 9.080300641916995374 2.500441498403545309e-10 -0.01287144709196454649 0.003031632021895379423 6.086951441989145424e-11
85 5.3125 -0.2482604080370429123 9.080490198912158917 2.538132966211265259e-10 -0.01312382875044402347 0.003032911922608310176 6.030634849235184136e-11
86 5.375 -0.2490963423219499095 9.080679809235697064 2.575469680420711939e-10 -0.01337494855851174315 0.003033765176596751011 5.973874273511453423e-11
87 5.4375 -0.249947888848406935 9.080869446891341568 2.612449304863516559e-10 -0.01362474442331252159 0.003034202490320438497 5.916739910848737915e-11
88 5.5 -0.2508149613563416258 9.081059086534754243 2.64907000704604433e-10 -0.01387316012695549196 0.003034234294595776395 5.859312349204454991e-11
89 5.5625 -0.2516974704251413453 9.08124870345508306 2.685330498417306659e-10 -0.01412014510079535878 0.003033870725260488094 5.80167861940197522e-11
90 5.625 -0.2525953238102480736 9.081438273555246354 2.721229996023987456e-10 -0.01436565416170790775 0.003033121602613829664 5.743919617068963581e-11
91 5.6875 -0.2535084267614251541 9.081627773330909648 2.756768149561050935e-10 -0.01460964721883340964 0.003031996410615742273 5.686104565930188413e-11
92 5.75 -0.254436682321587726 9.081817179848144406 2.791944956972259995e-10 -0.01485208896260105903 0.003030504275741964255 5.62828918579348453e-11
93 5.8125 -0.2553799916056170849 9.082006470719695912 2.826760710211209326e-10 -0.01509294854446940025 0.003028653944816965191 5.570520518231858662e-11
94 5.875 -0.2563382540590396497 9.08219562407983716 2.861215976004353114e-10 -0.01533219925476123242 0.003026453762260422446 5.512842526902981514e-11
95 5.9375 -0.2573113676966345964 9.082384618557762579 2.895311603967346191e-10 -0.01556981820151894479 0.003023911646814089488 5.455300474078854195e-11
96 6 -0.2582992293213718926 9.082573433249654826 2.929048718653724384e-10 -0.01580578599579716276 0.003021035070263633493 5.397938349820527672e-11
97 6.0625 -0.259301734724450228 9.082762047689680429 2.962428693742919099e-10 -0.01604008644925370569 0.003017831040408598675 5.34079601427111557e-11
98 6.125 -0.2603187788674757308 9.08295044182025535 2.995453107210822485e-10 -0.01627270628840839922 0.00301430608919505804 5.283906154864521196e-11
99 6.1875 -0.2613502560479545322 9.08313859596187001 3.028123679521200293e-10 -0.01650363488766090278 0.003010466265832086215 5.227291569660447904e-11
100 6.25 -0.2623960600493103756 9.083326490782791751 3.060442233793642338e-10 -0.01673286402169325837 0.003006317134735178847 5.170968683590725298e-11
101 6.3125 -0.2634560842766758837 9.083514107268978677 3.092410667376224313e-10 -0.01696038763784817743 0.003001863778985521935 5.114949373213087538e-11
102 6.375 -0.26453022187978531 9.083701426694647196 3.124030938939826561e-10 -0.01718620164975102546 0.002997110810702476383 5.059243450176390743e-11
103 6.4375 -0.2656183658643908041 9.083888430593992425 3.155305088027033082e-10 -0.01741030375368768715 0.002992062389518138858 5.003863853953021999e-11
104 6.5 -0.2667204091936634103 9.084075100734564145 3.186235231737661208e-10 -0.01763269326836195902 0.002986722249147029211 4.948822993700476258e-11
