# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
57 1.78125 -0.1408463567282170759 13.4837848591783338 -9.291537456822225367e-11 -0.007873969014550265266 -0.0003534728271146679005 -1.689524400750298652e-10
58 1.8125 -0.1410998587541242022 13.48377364683921265 -9.828383618802126798e-11 -0.008112064829028110477 -0.0003587948518957297475 -1.717907718335683028e-10
59 1.84375 -0.1413606178023228965 13.48376226689528679 -1.037321069075281043e-10 -0.008344289542358492712 -0.0003641582056394949128 -1.743446630242187103e-10
60 1.875 -0.1416284778683081502 13.48375071525252977 -1.092523307411999167e-10 -0.008571522111528074792 -0.0003696525682013799261 -1.766471626774979464e-10
61 1.90625 -0.1419033136436789744 13.48373898559970208 -1.148379819354529247e-10 -0.008794744811866440568 -0.0003753488904625141209 -1.78740838216096386e-10
62 1.9375 -0.1421850322328452043 13.48372707004605608 -1.204839232278915965e-10 -0.00901499485331935628 -0.0003812977166821609966 -1.806701213580374446e-10
63 1.96875 -0.1424735732735298022 13.48371495975565537 -1.261861890317048471e-10 -0.009233313301907334139 -0.0003875292927983826625 -1.824725057220239422e-10
64 2 -0.1427689075080824377 13.48370264552104025 -1.319415634174369962e-10 -0.009450695505684027914 -0.0003940555076766246237 -1.84171980343428874e-10
65 2.03125 -0.1430710339989695323 13.48369011822754437 -1.377470994866047651e-10 -0.00966804770838730794 -0.0004008733918464902008 -1.857771542133682685e-10
66 2.0625 -0.1433799763104826597 13.48367736917782445 -1.435997406800301759e-10 -0.009886153968420135704 -0.0004079695910162458141 -1.87284518189613328e-10
67 2.09375 -0.1436957780596698486 13.48366439027027397 -1.494961453787078592e-10 -0.01010565597398974808 -0.0004153250416227524167 -1.886849503576854751e-10
68 2.125 -0.1440184982559392923 13.48365117404925151 -1.554327231365278418e-10 -0.01032704628062219854 -0.0004229190726915294527 -1.899704882502396498e-10
69 2.15625 -0.1443482068022724496 13.48363771366330432 -1.614058044290471028e-10 -0.01055067348266146808 -0.0004307323502908484334 -1.9113860136061656e-10
70 2.1875 -0.1446849804394414463 13.48362400277554229 -1.674118313725519088e-10 -0.01077675638940745438 -0.000438748408378284078 -1.921928621921535088e-10
71 2.21875 -0.1450288993046349173 13.48361003546715686 -1.734474823654551283e-10 -0.01100540368619078516 -0.000446953868319619591 -1.931408317729030496e-10
72 2.25 -0.1453800441730074 13.48359580616310183 -1.795097020123411001e-10 -0.01123663578791956295 -0.0004553377297640957724 -1.939910287003509149e-10
73 2.28125 -0.1457384943718063319 13.48358130959295309 -1.85595667140443452e-10 -0.01147040636156579189 -0.0004638902447408801283 -1.9475088409927547e-10
